,spacy_similarity
0,0.8322714393234341
1,0.7111006587168112
2,0.6694431389318812
3,0.87713398166937
4,0.6543674352911779
5,0.5417412891419803
6,0.6664192803852451
7,0.7958795065782001
8,0.7979529173287501
9,0.8223070262623156
10,0.5600637805361764
11,0.714145012224038
12,0.8356042108110808
13,0.7398212545273356
14,0.8802978231368336
15,0.9467228766564181
16,0.8715832285143242
17,0.7232807523157164
18,0.8748634957285771
19,0.5483999292529936
20,0.7824695008445512
21,0.49418243125323497
22,0.680688560388816
23,0.9235236597467421
24,0.8689291345312258
25,0.7375640356361662
26,0.7573434525715695
27,0.8013074793409772
28,0.6863675165331247
29,0.6875774580543115
30,0.5979069746577664
31,0.5916089349122736
32,0.5734312507372505
33,0.8506453861614174
34,0.7406614886004085
35,0.7257397397343374
36,0.6867338414671067
37,0.8655741052218413
38,0.6597526271197107
39,0.7977330021306461
40,0.7696413294293833
41,0.9055083283929912
42,0.8572713807881718
43,0.45694724204651455
44,0.8921560773339368
45,0.5624375076674352
46,0.8504966059315237
47,0.6962538961659087
48,0.8044951223389937
49,0.537924737497015
50,0.7588070425679406
51,0.668651869935004
52,0.8607398533793551
53,0.807090854240731
54,0.9862698167239037
55,0.8316013680598111
56,0.7748428458035622
57,0.9280664625900746
58,0.9701645143477213
59,0.5809619581201385
60,0.702750530371154
61,0.8072506322838172
62,0.736332907521268
63,0.6503884402619108
64,0.7828045903320183
65,0.8560982510054951
66,0.580429422558038
67,0.7193078220447017
68,0.12440340432169292
69,0.870538547678918
70,0.4018913070423318
71,0.5281076387393078
72,0.7150981135673535
73,0.8199052791689956
74,0.781683687606892
75,0.6220676262180952
76,0.9031149297228552
77,0.5950349204184974
78,0.7955697732289649
79,0.7270461996308069
80,0.6965361079932106
81,0.9171640551870319
82,0.9050581388422784
83,0.8411273915787006
84,0.8125433734224484
85,0.7634343186755417
86,0.9833952636765898
87,0.6930797590928119
88,0.8358282038046793
89,0.6532001597022791
90,0.7430439753615419
91,0.5684345805632324
92,0.5910108427169407
93,0.546320042004972
94,0.861593242140931
95,0.9807485325962249
96,0.8025170178502514
97,0.8870196820139428
98,0.8855581996822267
99,0.9448657203325499
100,0.725150869102874
101,0.5038107667072982
102,0.9906816683737083
103,0.7665907146655393
104,0.9945362429588616
105,0.978155177804778
106,0.9142889438888878
107,0.771922458127583
108,0.9044858202989519
109,0.7255827777802552
110,0.8462703132593348
111,0.9854294221974437
112,0.7338992212304264
113,0.7662746809851095
114,0.7647950638003577
115,0.48407332527667896
116,0.7707065790049049
117,0.9325410180522399
118,0.9825270134272046
119,0.5311237598356903
120,0.8600777608025995
121,0.6234118425404458
122,0.59207265301627
123,0.7902384246724009
124,0.8562329367662423
125,0.5592557597566722
126,0.9194289186723743
127,0.6911274085796542
128,0.7171713787218602
129,0.6680543730102385
130,0.7399016042646005
131,0.5343366732629807
132,0.6663042583690462
133,0.48825970260542934
134,0.8855768341605147
135,0.8128827229263025
136,0.851479652155203
137,0.480848551391228
138,0.8161903423570273
139,0.6507538228863713
140,0.8892018176430317
141,0.9924078415336098
142,0.7693281784755513
143,0.9065100248119322
144,0.49806206344074216
145,0.9191057838002432
146,0.6783136591325277
147,0.8961070961698817
148,0.5753883062230416
149,0.5059871971852223
150,0.8907898950684986
151,0.9092641539765929
152,0.781481765916841
153,0.7962360756662351
154,0.9402403828549228
155,0.6683378085066941
156,0.9895342535121012
157,0.7410627058936174
158,0.925412572593297
159,0.8233815121599454
160,0.5046418728489213
161,0.8741421391940597
162,0.7524367091143771
163,0.8629041692702507
164,0.7582405022795041
165,0.9323337505703427
166,0.8234918139954633
167,0.7422986052976839
168,0.6547135080678137
169,0.9939178559979484
170,0.9694694126409529
171,0.7727721660824488
172,0.8598628965349365
173,0.8423798182116701
174,0.757244022199568
175,0.7966123826193653
176,0.6154191630893231
177,0.7007911707245953
178,0.7984877595480655
179,0.9525334171303812
180,0.630835700507395
181,0.7837284429484958
182,0.8232000900866662
183,0.5880178120950883
184,0.5940381165259884
185,0.7427478130093098
186,0.7872932977766475
187,0.7997281385497137
